source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
inventory_weekly,inspections,0.7494,inventory_weekly.week_datetime,employees.hire_date,0.9297
inventory_weekly,inspections,0.7494,inventory_weekly.store_id,locations.location_id,0.7435
inventory_weekly,inspections,0.7494,inventory_weekly.product,employees.job_title,0.7292
inventory_weekly,inspections,0.7494,inventory_weekly.revenue,departments.dept_id,0.6731
inventory_weekly,inspections,0.7494,inventory_weekly.units,inspections.score,0.7411
inventory_weekly,inspections,0.7494,inventory_weekly.min_stk_lvl_qty,inspections.score,0.7445
inventory_weekly,inspections,0.7494,inventory_weekly.max_stk_lvl_qty,inspections.score,0.7395
inventory_weekly,inspections,0.7494,inventory_weekly.on_hnd_qty,inspections.score,0.7403
inventory_weekly,inspections,0.7494,inventory_weekly.oos_impressions,inspections.score,0.75
inventory_weekly,inspections,0.7494,inventory_weekly.non_oos_impressions,inspections.score,0.75
inventory_weekly,inspections,0.7494,inventory_weekly.totals_impressions,inspections.score,0.75
inventory_weekly,inspections,0.7494,inventory_weekly.top5_impressions,inspections.score,0.75
inventory_weekly,inspections,0.7494,inventory_weekly.fld_ln_abbr_cd,departments.dept_id,0.7275
inventory_weekly,inspections,0.7494,inventory_weekly.hq_ln_abbr_cd,departments.dept_id,0.9485
inventory_weekly,inspections,0.7494,inventory_weekly.lvl_1_hrchy_desc,employees.job_title,0.7425
inventory_weekly,inspections,0.7494,inventory_weekly.lvl_2_hrchy_desc,employees.job_title,0.745
inventory_weekly,inspections,0.7494,inventory_weekly.lvl_3_hrchy_desc,employees.job_title,0.7304
inventory_weekly,inspections,0.7494,inventory_weekly.lvl_4_hrchy_desc,employees.job_title,0.7422
inventory_weekly,inspections,0.7494,inventory_weekly.curr_loc_num,locations.state,0.75
inventory_weekly,inspections,0.7494,inventory_weekly.curr_dc_nm,departments.dept_name,0.7481
inventory_weekly,inspections,0.7494,inventory_weekly.curr_ownshp_typ_cd,employees.job_title,0.7314
inventory_weekly,inspections,0.7494,inventory_weekly.curr_div_nm,departments.dept_name,0.75
inventory_weekly,inspections,0.7494,inventory_weekly.asp,inspections.score,0.75
inventory_weekly,inspections,0.7494,inventory_weekly.lost_units,inspections.score,0.7194
inventory_weekly,inspections,0.7494,inventory_weekly.lost_revenue,employees.dept_id,0.6747
inventory_weekly,inspections,0.7494,inventory_weekly.opportunity_indicator,trainings.status,0.6848
